cell_id,cx,cy,cz,lambda,chi,sigma,is_interface,surface_x,surface_y,surface_z,normal_x,normal_y,normal_z,interpolation_coefficient
70,0.013,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
71,0.015,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
72,0.017,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
73,0.019,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
74,0.021,0.003,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
75,0.023,0.003,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
76,0.025,0.003,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
77,0.027,0.003,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
78,0.029,0.003,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
79,0.031,0.003,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
80,0.033,0.003,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
81,0.035,0.003,0.001,0,0,0.004,0,0,0,0,0,0,0,0
82,0.037,0.003,0.001,0,0,0.006,0,0,0,0,0,0,0,0
83,0.039,0.003,0.001,0,0,0.008,0,0,0,0,0,0,0,0
84,0.041,0.003,0.001,0,0,0.01,0,0,0,0,0,0,0,0
85,0.043,0.003,0.001,0,0,0.012,0,0,0,0,0,0,0,0
86,0.045,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
87,0.047,0.003,0.001,0,0,0.0141421,0,0,0,0,0,0,0,0
88,0.049,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
89,0.051,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
90,0.053,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
91,0.055,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
92,0.057,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
93,0.059,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
94,0.061,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
95,0.063,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
96,0.065,0.003,0.001,0,0,0.0141421,0,0,0,0,0,0,0,0
97,0.067,0.003,0.001,0,0,0.014,0,0,0,0,0,0,0,0
98,0.069,0.003,0.001,0,0,0.012,0,0,0,0,0,0,0,0
99,0.071,0.003,0.001,0,0,0.01,0,0,0,0,0,0,0,0
100,0.073,0.003,0.001,0,0,0.008,0,0,0,0,0,0,0,0
101,0.075,0.003,0.001,0,0,0.006,0,0,0,0,0,0,0,0
102,0.077,0.003,0.001,0,0,0.004,0,0,0,0,0,0,0,0
103,0.079,0.003,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
104,0.081,0.003,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
105,0.083,0.003,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
106,0.085,0.003,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
107,0.087,0.003,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
108,0.089,0.003,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
109,0.091,0.003,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
110,0.093,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
111,0.095,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
112,0.097,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
113,0.099,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
114,0.101,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
115,0.103,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
116,0.105,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
117,0.107,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
118,0.109,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
119,0.111,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
120,0.113,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
121,0.115,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
122,0.117,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
123,0.119,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
124,0.121,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
125,0.123,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
126,0.125,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
127,0.127,0.003,0.001,1,1,-0.014,0,0,0,0,0,0,0,0
128,0.001,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
129,0.003,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
130,0.005,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
131,0.007,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
132,0.009,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
133,0.011,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
134,0.013,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
135,0.015,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
136,0.017,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
137,0.019,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
138,0.021,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
139,0.023,0.005,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
140,0.025,0.005,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
141,0.027,0.005,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
142,0.029,0.005,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
143,0.031,0.005,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
144,0.033,0.005,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
145,0.035,0.005,0.001,0,0,0.004,0,0,0,0,0,0,0,0
146,0.037,0.005,0.001,0,0,0.006,0,0,0,0,0,0,0,0
147,0.039,0.005,0.001,0,0,0.008,0,0,0,0,0,0,0,0
148,0.041,0.005,0.001,0,0,0.01,0,0,0,0,0,0,0,0
149,0.043,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
150,0.045,0.005,0.001,0,0,0.0126491,0,0,0,0,0,0,0,0
151,0.047,0.005,0.001,0,0,0.0121655,0,0,0,0,0,0,0,0
152,0.049,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
153,0.051,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
154,0.053,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
155,0.055,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
156,0.057,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
157,0.059,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
158,0.061,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
159,0.063,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
160,0.065,0.005,0.001,0,0,0.0121655,0,0,0,0,0,0,0,0
161,0.067,0.005,0.001,0,0,0.0126491,0,0,0,0,0,0,0,0
162,0.069,0.005,0.001,0,0,0.012,0,0,0,0,0,0,0,0
163,0.071,0.005,0.001,0,0,0.01,0,0,0,0,0,0,0,0
164,0.073,0.005,0.001,0,0,0.008,0,0,0,0,0,0,0,0
165,0.075,0.005,0.001,0,0,0.006,0,0,0,0,0,0,0,0
166,0.077,0.005,0.001,0,0,0.004,0,0,0,0,0,0,0,0
167,0.079,0.005,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
168,0.081,0.005,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
169,0.083,0.005,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
170,0.085,0.005,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
171,0.087,0.005,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
172,0.089,0.005,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
173,0.091,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
174,0.093,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
175,0.095,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
176,0.097,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
177,0.099,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
178,0.101,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
179,0.103,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
180,0.105,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
