global_step,stage,stage_step,beta,learning_rate,loss_total,loss_momentum,loss_continuity,loss_x_raw,loss_y_raw,loss_continuity_raw,residual_x_l2,residual_y_l2,residual_continuity_l2,divergence_l2,inlet_flux,outlet_flux,mass_imbalance,continuity_constant_test,absolute_mass_defect,max_speed,mean_speed,pressure_min,pressure_max,gradient_norm,seconds_per_step,elapsed_seconds,rss_mb
5,0,5,0.0,0.001,1.9427598870586082,0.985124313707128,0.9576355733514802,0.0037863188665102285,4.9767381133514295e-05,0.09613231911307656,0.008605677487203926,0.001342459523521574,0.0010957004996853031,0.3347829158233622,-0.0032000000000000015,2.9950126253814833e-05,0.9814547435261615,-0.00317004987374619,0.003170049873746187,0.1,0.0009673015705963838,-0.00011426210479464285,0.00014444051892425133,2.142951143837886,1.0380326984000021,5.190177790000007,680.40625
10,0,10,0.0,0.001,1.8355661467838078,0.9363318031023824,0.8992343436814255,0.0035913738859578346,5.471372261615751e-05,0.0902697072767291,0.008389941449996588,0.0013568685615652687,0.0010652353678295393,0.3254784401502993,-0.0032000000000000015,-1.9985687211843806e-05,0.9999999996894396,-0.0032199856872118515,0.0032199856872118455,0.1,0.002081412774086868,-0.00028173484128011047,0.0002580663080951241,3.302457633178571,0.671560133700001,6.716730884000015,680.40625
15,0,15,0.0,0.001,1.7527398859716898,0.9527192879423527,0.8000205980293372,0.0036227844594699282,8.711621751927486e-05,0.08031012795152627,0.008258908041736334,0.0014801208249875153,0.0010046310251594509,0.3101746562195843,-0.0032000000000000015,-0.00010261897378831847,0.99999999969721,-0.003302618973788326,0.0033026189737883197,0.1,0.003702225082431211,-0.0006350974840171339,0.00040920998102622364,1.2415737065493146,0.5765830032000016,8.648751801999992,680.65625
20,0,20,0.0,0.001,1.6898272995917856,0.8950033598991683,0.7948239396926172,0.0033968756659041605,8.827847427154033e-05,0.07978846101323696,0.00822800090371477,0.001490608651697091,0.0010079751408280384,0.3107639397173277,-0.0032000000000000015,-3.635239212084156e-05,0.9999999996910102,-0.0032363523921208515,0.003236352392120843,0.1,0.004241846424146691,-0.0008704219233907429,0.000490539992672669,0.851715848660161,0.5008462343500014,10.016932080999993,680.65625
25,0,25,0.0,0.001,1.638716564473489,0.8527681666080659,0.785948397865423,0.003242948379280551,7.774139645277488e-05,0.07889748907884314,0.008137832504736958,0.0014631968889910773,0.0010027521325235047,0.30963022243942523,-0.0032000000000000015,-1.0482077789300653e-05,0.9999999996885203,-0.003210482077789312,0.003210482077789302,0.1,0.004100848058039192,-0.001400643833005913,0.000585718000641895,1.4052249409989013,0.44469609912000124,11.117408836000038,680.65625
30,0,30,0.0,0.001,1.5959422925133593,0.8435063797357859,0.7524359127775734,0.0031977536648449636,8.687059838907017e-05,0.07553333574078105,0.008079435313261815,0.0015244928525935276,0.0009807501044654422,0.3044757726057443,-0.0032000000000000015,-7.584906356178329e-05,0.9999999996947356,-0.0032758490635617908,0.0032758490635617847,0.1,0.004753331047561449,-0.002184969871942016,0.0010951606423228544,2.185159622521245,0.4064394566666673,12.193190094000045,680.65625
35,0,35,0.0,0.001,1.5567717749729082,0.8288097001604969,0.7279620748124113,0.0031348085764625767,9.258663494485381e-05,0.07307652767447798,0.007954851145086662,0.001536237837668484,0.0009677245466611558,0.29957551522414044,-0.0032000000000000015,-6.556462950237892e-05,0.9999999996937743,-0.0032655646295023876,0.0032655646295023802,0.1,0.004900206886320666,-0.003091333779516075,0.001282722465499933,6.9519300761920775,0.3895601677142866,13.634615381999993,680.65625
40,0,40,0.0,0.001,1.5130007310531892,0.7940846898334908,0.7189160412196984,0.003007238379611536,8.493721259530975e-05,0.0721684409113695,0.00783360976336294,0.0014646473764596125,0.000965014160307431,0.2976306016739352,-0.0032000000000000015,-0.00012011943250221589,0.999999999698806,-0.0033201194325022153,0.0033201194325022175,0.1,0.004879259612431514,-0.003950135659460714,0.0017276150127498195,6.296572094329125,0.3769230802750002,15.07692941900001,680.65625
45,0,45,0.0,0.001,1.4552868509123353,0.7786905154696813,0.6765963354426541,0.0029432654172797603,8.896506977724392e-05,0.06792017406149428,0.007677014235510579,0.0014671284089675819,0.0009372514737555904,0.28925546321150936,-0.0032000000000000015,-0.0001391684011740292,0.9999999997005242,-0.0033391684011740332,0.0033391684011740306,0.1,0.005039218925955212,-0.004994644935132338,0.0021290702371022196,3.7089813388103563,0.3649286444000002,16.42179556100001,680.65625
50,0,50,0.0,0.001,1.3987461887095805,0.7494255333373998,0.6493206553721806,0.00282693159167401,9.134069342498154e-05,0.06518210286455206,0.007517418063686479,0.0014597634283644786,0.0009212882917101767,0.28392269586920627,-0.0032000000000000015,-0.0001313177415959386,0.9999999996998185,-0.003331317741595952,0.00333131774159594,0.1,0.004842747091605172,-0.00590649417513393,0.0023735187327736137,7.837634671840632,0.3651771247800002,18.258866339000008,680.65625
55,0,55,0.0,0.001,1.3127401949996358,0.7085419671827703,0.6041982278168654,0.002662900580646494,9.617059277733419e-05,0.06065248457800145,0.007289548261261894,0.0014421512901609428,0.0008965288580143114,0.2752367083598422,-0.0032000000000000015,-0.00015348199488736015,0.9999999997018025,-0.0033534819948873684,0.0033534819948873615,0.1,0.004952135012552397,-0.007026328184116235,0.0027979134486740688,5.699071943637506,0.5016366924181821,27.59002989000004,706.98828125
60,0,60,0.0,0.001,1.2356108572449958,0.6837048441471778,0.5519060130978181,0.0025587483804662844,0.00010360672902310193,0.05540312666734254,0.007085515333335924,0.0014540730096085578,0.0008653962868198186,0.2645336227909511,-0.0032000000000000015,-0.00013493393662742908,0.999999999700144,-0.0033349339366274392,0.0033349339366274306,0.1,0.005051019072371291,-0.008087890419478801,0.0030265132417967773,14.679011721078066,0.4906274141500006,29.437654952999992,706.98828125
65,0,65,0.0,0.001,1.259942107566844,0.7249089908933009,0.535033116673543,0.0026699531481049732,0.00015285141784325375,0.05370933968975188,0.007017040165546733,0.0015627912088989845,0.0008544369427759418,0.2613169818088121,-0.0032000000000000015,-0.0002294179737952962,0.9999999997084054,-0.003429417973795298,0.0034294179737952976,0.1,0.005082844427658371,-0.008570033419619686,0.0038448078154722687,39.32126365186668,0.48412919950769284,31.468409425999994,706.98828125
70,0,70,0.0,0.001,1.027402438095094,0.5574401359594919,0.46996230213560186,0.002072259335853196,9.841944009933464e-05,0.047177201074415316,0.006492168672381207,0.0013975005125814004,0.000827226717384867,0.24701391224968788,-0.0032000000000000015,-0.00012434419628847958,0.9999999996991888,-0.0033243441962884967,0.003324344196288481,0.1,0.005372060313095953,-0.009907195790634843,0.0035679816150477085,5.91523739383518,0.47633100378571464,33.34317718400001,706.98828125
75,0,75,0.0,0.001,1.4078083458818904,0.980854231051133,0.4269541148307575,0.003550805736962197,0.00026865275606718296,0.0428598209545492,0.00726233444305654,0.0019719259367515975,0.0007989505637699018,0.23703967806115153,-0.0032000000000000015,2.441800881169724e-05,0.9848543152671927,-0.0031755819911883127,0.0031755819911883044,0.1,0.00558395622401538,-0.010649094551833813,0.0031714045456345008,75.06748454323761,0.46472217822666684,34.854169902000024,706.98828125
80,0,80,0.0,0.001,1.000960581794636,0.5222636937266658,0.4786968880679702,0.0019494771588186499,8.422411651511553e-05,0.04805402314069714,0.006587666744775039,0.0014157639324198549,0.0008002054025939661,0.2489319435540911,-0.0032000000000000015,-7.6636299970053e-05,0.999999999694809,-0.0032766362999700643,0.0032766362999700543,0.1,0.00643228350617583,-0.009726885278863036,0.003366481691330649,23.4244611210276,0.4580970402750005,36.64777361099999,706.98828125
