case_id,initialization,k,rel_U,rel_p,normalized_residual,rho_u,rho_p,rho_phi
topology_0295,teacher,10,0.6452255898111438,0.6784637222883524,0.3673189749000884,0.36709937779485063,0.012699422724327588,2.8403416721277235e-05
topology_0295,teacher,20,0.6205687007655097,0.6686674359567897,0.270463445341029,0.27029153305152026,0.009641675165012341,2.2943650823337965e-05
topology_0295,teacher,50,0.5744546766581021,0.6401320922689336,0.16624741859691813,0.1661480595664172,0.005746846266210463,1.5825478245632134e-05
topology_0296,cold,0,1.0,1.0,1.0,0.9934555760790903,0.11421916708483627,1.509333807283186e-05
topology_0296,cold,5,0.748069583386294,0.6228085864686562,5.0272846868578185,5.026833982858272,0.06731533533775834,0.00027771338688607566
topology_0296,cold,10,0.5635306130993736,0.50898429693791,2.3082476937362957,2.307795482092243,0.04568817137219709,0.0001395357440297664
topology_0296,cold,20,0.3729391640791239,0.5229879442615599,0.8212337928014276,0.8210730654646222,0.016246904762921476,4.11481596329173e-05
topology_0296,cold,50,0.2227487721338154,0.548867087108811,0.14717779661657746,0.14708330165043595,0.005273143588968435,1.2215057178788194e-05
topology_0296,neural,0,0.6664982166211462,0.9981276477884863,3.909993003535597,3.907386153864411,0.14275402577804816,0.00014286413615051166
topology_0296,neural,5,0.5884391706648694,0.580223899168212,1.7959501886029403,1.795425635488384,0.04340332979716769,0.00013541266219795647
topology_0296,neural,10,0.4996989224869666,0.542389957579246,1.2101756327555864,1.209925998647362,0.024579196725713483,5.4780339237721235e-05
topology_0296,neural,20,0.37992085084906907,0.5626940338386474,0.5520161847890641,0.5518694217681203,0.012728265129733695,2.9209276831717524e-05
topology_0296,neural,50,0.25932959257964366,0.5685865747309167,0.15012153507669312,0.1500339288595923,0.005127898044591574,1.2098838134960523e-05
topology_0296,teacher,0,0.3729391640791239,0.5229879442615599,0.8212337928014276,0.8210730654646222,0.016246904762921476,4.11481596329173e-05
topology_0296,teacher,5,0.3225841181562584,0.5332875841728725,0.5451184925436862,0.5449844866476189,0.012086330020960488,2.920884603077798e-05
topology_0296,teacher,10,0.28792043408411616,0.540974155800098,0.3873657920718762,0.387243923137807,0.009715984674087477,2.2408149131292042e-05
topology_0296,teacher,20,0.24582709551173526,0.5488967065269325,0.22266207194784168,0.22255650805230187,0.006855564683317943,1.5509493524566005e-05
topology_0296,teacher,50,0.19786809086191343,0.540303373978191,0.08970646995449394,0.08963233185145979,0.0036463346449409203,9.067712775771109e-06
topology_0297,cold,0,1.0,1.0,1.0,0.9934555760790903,0.1142191670848362,1.509333807283185e-05
topology_0297,cold,5,0.6683911366543825,0.5503139556264636,5.003231855778674,5.002801228559058,0.06564139043639537,0.0002794066390469006
topology_0297,cold,10,0.4280378420583879,0.4669444551728654,2.226702193407114,2.2262624997911935,0.04424841020698496,0.0001354314312623741
topology_0297,cold,20,0.27562465641929307,0.5444585346624122,0.48064661121372076,0.4803919615097557,0.015643758091424008,3.1950274629222084e-05
topology_0297,cold,50,0.21349487771013928,0.5464799403938675,0.1067416172804663,0.10662107666497309,0.0050713642358484025,1.1629223277137976e-05
topology_0297,neural,0,0.44759315634817515,0.9979681664483628,3.742579369754647,3.7401752130373214,0.13412566690608022,0.00014202577323337405
topology_0297,neural,5,0.4286378447945253,0.6340537704320444,1.2487977205767737,1.2481499293125082,0.040217992460003196,0.00011814149693421153
topology_0297,neural,10,0.37619683276310045,0.5704360251734444,0.7816854236055658,0.7813543498781844,0.022748170342739363,4.636712563465494e-05
topology_0297,neural,20,0.3113516723698472,0.5826337438870414,0.29966183339438957,0.2994289093943375,0.011812792682466777,2.3264684762343338e-05
topology_0297,neural,50,0.24932234440228296,0.5650219208879661,0.12283938707606551,0.12273675598034049,0.005020319613793946,1.1816140112845066e-05
topology_0297,teacher,0,0.27562465641929307,0.5444585346624122,0.48064661121372076,0.4803919615097557,0.015643758091424008,3.1950274629222084e-05
topology_0297,teacher,5,0.2529340146608661,0.5544310537118569,0.28850849171481663,0.28829037147965336,0.011216550053101933,2.2551898073982366e-05
topology_0297,teacher,10,0.24008641812921655,0.5546471368634293,0.19698459316116249,0.1967835528664078,0.008897355570412956,1.8110660460566294e-05
topology_0297,teacher,20,0.22442900015093553,0.5514837680225304,0.13204337575918917,0.1318872894782949,0.006418392570874588,1.3883695846979108e-05
topology_0297,teacher,50,0.19554537230459343,0.5356581680709789,0.0821157411897887,0.08203712156716603,0.0035924303015389555,8.98058818881412e-06
