case_id,state,residual_total,residual_momentum_u,residual_pressure_p,residual_flux_phi,velocity_error,pressure_error
topology_0290,cold,1.0,0.9934555760790903,0.11421916708483618,1.5093338072831849e-05,1.0,1.0
topology_0290,neural,3.9921127705596406,3.9895917536013803,0.14185200129245973,0.00014896495746359023,0.6788030389567685,0.9988366992518372
topology_0290,teacher_W20,0.6189565973507528,0.6188266237683528,0.01268377444057443,3.139146293070024e-05,0.4589350905125553,0.6020600453393694
topology_0291,cold,1.0,0.9882133948233398,0.1530826119064255,1.4954478080823308e-05,1.0,1.0
topology_0291,neural,4.890037700171734,4.886558303427542,0.18443592576789214,0.00021351898521170153,0.6197702030279982,0.9984331570830496
topology_0291,teacher_W20,0.8234874428619734,0.8231784142114947,0.022558027737764427,4.808516591211477e-05,0.43921876035101254,0.5378145264444071
topology_0292,cold,1.0,0.9934555760790902,0.11421916708483618,1.509333807283185e-05,1.0,1.0
topology_0292,neural,3.7063535464893747,3.703853999263313,0.13609607840696553,0.00014545710150211516,0.6248479902247912,0.9982848547823002
topology_0292,teacher_W20,0.5316732028987977,0.5314707088291556,0.01467239560848216,3.382911815251076e-05,0.3229810891149426,0.4887364653816609
topology_0293,cold,1.0,0.9934555760790903,0.11421916708483627,1.509333807283186e-05,1.0,1.0
topology_0293,neural,3.781805306276035,3.7789899197397974,0.14589906280786358,0.00015669831489171392,0.7029271075410961,0.9987947741541424
topology_0293,teacher_W20,0.5903722158260957,0.5902082850889715,0.013911592826994031,3.1886757367564333e-05,0.4654156095905575,0.5633172894914508
topology_0294,cold,1.0,0.9934555760790902,0.11421916708483618,1.509333807283185e-05,1.0,1.0
topology_0294,neural,3.819068428371103,3.8171325412807926,0.1215845160572567,0.00016831901455944891,0.3768733093533616,0.9977384644809025
topology_0294,teacher_W20,0.4073229560378634,0.40706368220945127,0.01453094081128114,3.0010750829077916e-05,0.2110475115137848,0.5536266646469901
topology_0295,cold,1.0,0.9882133948233398,0.1530826119064255,1.4954478080823308e-05,1.0,1.0
topology_0295,neural,4.889821619813264,4.886644785638812,0.17623328071651942,0.00020820695649301034,0.7412309397721711,0.9992824596342897
topology_0295,teacher_W20,0.6554886678324675,0.6551768099113442,0.020217312537884287,4.1047807553772844e-05,0.6809806113545269,0.6897088421542878
topology_0296,cold,1.0,0.9934555760790903,0.11421916708483627,1.509333807283186e-05,1.0,1.0
topology_0296,neural,3.909993003535597,3.907386153864411,0.14275402577804816,0.00014286413615051166,0.6664982166211462,0.9981276477884863
topology_0296,teacher_W20,0.8212337928014276,0.8210730654646222,0.016246904762921476,4.11481596329173e-05,0.3729391640791239,0.5229879442615599
topology_0297,cold,1.0,0.9934555760790903,0.1142191670848362,1.509333807283185e-05,1.0,1.0
topology_0297,neural,3.742579369754647,3.7401752130373214,0.13412566690608022,0.00014202577323337405,0.44759315634817515,0.9979681664483628
topology_0297,teacher_W20,0.48064661121372076,0.4803919615097557,0.015643758091424008,3.1950274629222084e-05,0.27562465641929307,0.5444585346624122
