global_step,stage,stage_step,beta,learning_rate,loss_total,loss_momentum,loss_continuity,loss_x_raw,loss_y_raw,loss_continuity_raw,residual_x_l2,residual_y_l2,residual_continuity_l2,divergence_l2,inlet_flux,outlet_flux,mass_imbalance,continuity_constant_test,absolute_mass_defect,max_speed,mean_speed,pressure_min,pressure_max,gradient_norm,seconds_per_step,elapsed_seconds,rss_mb
5,0,5,0.0,0.001,4.939134737507381,4.761702443480413,0.17743229402696786,0.017755004908719608,0.0007871232315034032,0.017811554191403553,0.01162184483816249,0.003498650201707234,0.0005553662482251977,0.16252103895071812,-0.0032000000000000015,0.0002834363753457713,0.8372662249435976,-0.002916563624654245,0.0029165636246542303,0.1,0.009529852246068378,-0.011616340682584164,0.0008908945683522484,404.8295034207091,1.079161017399997,5.395814203999976,672.1484375
10,0,10,0.0,0.001,3.768951746436468,3.585535559476269,0.18341618696019898,0.013312112203543981,0.0006500075601893527,0.01841224773391957,0.00987347205385745,0.003080557240122066,0.0006037962093364364,0.16352887876655003,-0.0032000000000000015,-0.00034836080728750776,0.9999999997181798,-0.0035483608072874994,0.0035483608072875094,0.1,0.007432703284315622,-0.011162903240766965,0.0005363224922035008,339.54651337757156,0.6790294991999986,6.790914315000009,672.1484375
15,0,15,0.0,0.001,3.847132658177419,3.701628321004374,0.1455043371730447,0.01394461780143367,0.0004695686098815093,0.014606463839373203,0.010306510965591738,0.002780087931911136,0.0005250810693622523,0.1512301341458863,-0.0032000000000000015,0.00027852298894972096,0.8398613490527791,-0.002921477011050284,0.0029214770110502805,0.1,0.008639476343015848,-0.012177924726348746,6.824584406544473e-06,348.6866199948658,0.566074576866663,8.49112642,672.28515625
20,0,20,0.0,0.001,1.5885127745549437,1.4242478410143555,0.16426493354058816,0.005342678334577446,0.0002033603532624534,0.01648974771785792,0.006815088413179221,0.0018581439747241406,0.0005648996331392988,0.1566406102789439,-0.0032000000000000015,-0.00019701773750155772,0.9999999997056241,-0.0033970177375015633,0.0033970177375015594,0.1,0.005661020070991396,-0.01175181261556967,0.0001930450726742361,204.59243214706086,0.5050241314999994,10.100489834999962,672.41015625
25,0,25,0.0,0.001,0.9262700803838333,0.7867503210531894,0.13951975933064392,0.002718272224485786,0.0003453432450829473,0.014005701542198636,0.00547037872141573,0.0022266970209848165,0.0005177147296517414,0.14844695243901024,-0.0032000000000000015,0.00010089487139308676,0.9388681701214314,-0.0030991051286069276,0.0030991051286069146,0.1,0.004928451619515055,-0.012002365028559989,0.00010378366044378723,146.8392227031712,0.4718768859200009,11.796927994000043,672.41015625
30,0,30,0.0,0.001,0.7985680313827174,0.6390952085802506,0.15947282280246675,0.0023007518549110965,0.0001878927825803734,0.01600869132070463,0.005103277255236227,0.0017531493236490887,0.0005528001953702505,0.15530109087217953,-0.0032000000000000015,-0.00013871967793385265,0.999999999700484,-0.0033387196779338653,0.003338719677933854,0.1,0.004275348015813606,-0.01157741289341601,0.00027827880315307656,129.78251614507474,0.44626310450000045,13.387901917000022,672.41015625
35,0,35,0.0,0.001,0.37220839566984676,0.2316693997773192,0.14053899589252752,0.0007935545383578915,0.00010856896638169539,0.014108017681182278,0.004014731712513598,0.0014122627271627797,0.0005186295843570697,0.14877599356489082,-0.0032000000000000015,1.7085279626309192e-05,0.9893784101843996,-0.003182914720373701,0.0031829147203736924,0.1,0.003379984482195779,-0.011800486281401807,0.0002030121511372688,55.34507029806773,0.42716569731428533,14.950805296999988,672.41015625
40,0,40,0.0,0.001,0.5083735118878412,0.368441347164874,0.13993216472296716,0.0013563747030086485,7.834045451683595e-05,0.01404710088854917,0.004459426169961509,0.001340599545767541,0.0005142923806615785,0.14864488062083717,-0.0032000000000000015,4.7826551846348836e-05,0.9705485797543995,-0.0031521734481536664,0.0031521734481536525,0.1,0.004255501096441802,-0.011989467443412267,7.139410372280143e-05,87.30601107105696,0.408904606050001,16.356189988999972,672.41015625
45,0,45,0.0,0.001,0.6991919034579931,0.5470919544228747,0.1520999490351184,0.0020032541791957037,0.00012712865001346003,0.01526856483260578,0.0049159285128877435,0.0015414871897379342,0.0005409345406487881,0.15291757301087883,-0.0032000000000000015,-0.0001241445505464057,0.9999999996991707,-0.0033241445505464125,0.0033241445505464073,0.1,0.0041308910185719,-0.012017031785874916,0.0002266987224966907,116.10102663932443,0.3970208263111115,17.865943693999952,672.41015625
50,0,50,0.0,0.001,0.5648292215856833,0.42815320349407526,0.13667601809160798,0.0015746981703881923,9.253569335392327e-05,0.013720232363866764,0.0046166153123324396,0.001410144968267127,0.0005117436755255368,0.14758398418079427,-0.0032000000000000015,6.927380595429873e-05,0.9576212880628464,-0.003130726194045714,0.0031307261940457026,0.1,0.00433697501389351,-0.012299899933759136,0.0001964324824326999,96.74671107906038,0.3854552828999999,19.272771917,672.41015625
55,0,55,0.0,0.001,0.3682482422547958,0.21964757427168718,0.14860066798310864,0.0008102364568766776,4.507391082826892e-05,0.014917289240805393,0.003972421974271712,0.0011345051369329809,0.0005332824705613395,0.1518337833667443,-0.0032000000000000015,-6.588549334408935e-05,0.9999999996938044,-0.0032658854933440926,0.003265885493344091,0.1,0.003066655356050552,-0.012114207230499517,0.00036052729269883037,54.31873511999789,0.5222427521090904,28.72335839599998,683.140625
60,0,60,0.0,0.001,0.4539868821844885,0.3091587088774551,0.1448281733070334,0.0011237629262675639,8.010490539848118e-05,0.014538587078788127,0.0042426401619004,0.0013160976843781791,0.0005301879807972483,0.15050130821618316,-0.0032000000000000015,-8.850715871315865e-05,0.9999999996959107,-0.0032885071587131606,0.00328850715871316,0.1,0.003553677764732269,-0.012083693777048838,0.00044829768127954196,75.91077248718199,0.5167092337833329,31.002564034999978,688.015625
65,0,65,0.0,0.001,0.6245153449751053,0.48501313942417584,0.13950220555092946,0.0017651613096662134,0.0001234858470262667,0.014003939404700709,0.004762403731755069,0.0015385642512563721,0.0005131663940348823,0.1487041567000906,-0.0032000000000000015,6.684658210134635e-05,0.9590757748177533,-0.003133153417898665,0.003133153417898655,0.1,0.004601794328484881,-0.012271855334537765,0.00043558725724296735,106.66148736654031,0.5083990826615385,33.04595017400004,688.015625
70,0,70,0.0,0.001,0.518909289464799,0.37153018477824323,0.1473791046865557,0.0013469081773914966,9.983495195945345e-05,0.014794662517332635,0.0044258345921451055,0.0014104686838670418,0.0005334840742752198,0.15138660799559922,-0.0032000000000000015,-0.0001002236421516096,0.9999999996969903,-0.0033002236421516137,0.003300223642151611,0.1,0.0037639083568280288,-0.012096216076695514,0.0006238051417228349,88.32646100713673,0.490536769971428,34.337583064,688.015625
75,0,75,0.0,0.001,0.34573073046438185,0.20601633603121097,0.13971439443317085,0.0007395776975074438,6.265246009095167e-05,0.014025240001616182,0.003945608000716749,0.0012303996349627634,0.0005169914763185019,0.14874583591973586,-0.0032000000000000015,2.0781517110511593e-05,0.9870953571400874,-0.0031792184828895007,0.00317921848288949,0.1,0.0035125417930986984,-0.012196036586813617,0.000655230123575415,49.103107377283926,0.47714945162666633,35.78621716299995,691.265625
80,0,80,0.0,0.001,0.47218692303755205,0.33243077279423255,0.13975615024331947,0.0012222549485074207,7.223458754991081e-05,0.014029431661760952,0.004332026158848079,0.0013056699498173836,0.0005155910868182127,0.14880595353227133,-0.0032000000000000015,5.076047225703531e-05,0.9687700935368043,-0.0031492395277429768,0.003149239527742966,0.1,0.004033838932896521,-0.012210962428152831,0.0007859547448539685,79.96156272407251,0.46378710645000043,37.10297424800001,691.265625
85,0,85,0.0,0.001,0.48121467870627743,0.33385936065892835,0.14735531804734908,0.0012256637212043073,7.438875364669557e-05,0.014792274693765432,0.004316884948064876,0.001297096540259394,0.000534006980669564,0.15144077204550319,-0.0032000000000000015,-9.690240708686904e-05,0.999999999696685,-0.0032969024070868777,0.0032969024070868703,0.1,0.0036304119966386614,-0.012037702604838685,0.0009780228687800703,80.90878209580822,0.4546646108470588,38.646499111000026,692.890625
90,0,90,0.0,0.001,0.6467572131047465,0.5038094654369534,0.1429477476677932,0.0018095056346673509,0.00015233464772568988,0.01434982040945148,0.004786398586183206,0.0016435608006703179,0.000517653362600268,0.1500264728695533,-0.0032000000000000015,6.982558249604527e-05,0.9572909433772374,-0.0031301744175039675,0.003130174417503956,0.1,0.0046867596418194435,-0.012237087631671455,0.0009964750049518722,109.93064023308783,0.4460850882111105,40.14766453200002,692.890625
95,0,95,0.0,0.001,0.2779231195257852,0.13969144369028624,0.13823167583549895,0.0004996276027502348,4.4332604705489385e-05,0.013876397183583175,0.003713468719856431,0.001116051414108767,0.0005196306033268995,0.1481979083211146,-0.0032000000000000015,-3.336444640668164e-05,0.9999999996907246,-0.003233364446406687,0.003233364446406683,0.1,0.002935554470412139,-0.01217126053342766,0.001190067589215584,16.152033193817818,0.44058372342105223,41.85546186299996,692.890625
100,0,100,0.0,0.001,0.34208369485371615,0.19250206868356667,0.1495816261701495,0.0007081201798675292,4.1485253726042286e-05,0.015015762802249193,0.0038703962410618674,0.0011152559050668742,0.0005351251791068767,0.1523077215400638,-0.0032000000000000015,-6.735934031460961e-05,0.9999999996939425,-0.003267359340314616,0.003267359340314611,0.1,0.0029941281436923536,-0.012084834433452445,0.0013660216806535483,46.608984791224586,0.43296042175000027,43.296050347999994,692.890625
105,1,5,0.25,0.0005,0.3466698867698903,0.20735363380638291,0.13931625296350741,0.0007576528765546437,4.978473510103411e-05,0.013985272540215511,0.003933054927837707,0.0011746584805268814,0.0005174695800405027,0.14869306163396984,-0.0032000000000000015,2.156132416777158e-05,0.9866143633527457,-0.0031784386758322318,0.00317843867583223,0.1,0.0034817762874446608,-0.01220074420811895,0.0014186351929666413,49.735250686196885,0.4634772837809524,48.665122007000036,695.28125
110,1,10,0.25,0.0005,0.31147308488937553,0.1623134081992579,0.14915967669011765,0.0005930050966767542,3.904532004503652e-05,0.014973405371935635,0.0037685780395591353,0.001102001718139289,0.0005340089840706561,0.1521785709134202,-0.0032000000000000015,-5.86317702163434e-05,0.9999999996931227,-0.003258631770216351,0.003258631770216345,0.1,0.002891772208757676,-0.01205058239355373,0.0015435286621458227,35.62440660931194,0.45797716241818204,50.37749816300004,695.28125
