topology_id,mesh_cells,mesh_vertices,solve_type,solve_time,Q_in,Q_out,mass_imbalance,divergence_L2,u_max,u_mean,delta_p,weak_residual
A,1312,825,steady_navier_stokes_stokes_initialized,6.030144705000566,-0.0014666666666666658,0.001466666666666685,6.505213032695302e-15,0.06948148680652892,0.14140417528483856,0.05421290567401465,23.76774361357669,1.8171731134525386e-16
B,2160,1267,steady_navier_stokes_stokes_initialized,12.743972479998774,-0.002266666666666666,0.00226666666666671,9.757819550216986e-15,0.15358201943079708,0.15668300118188386,0.06886275138596148,15.486627221471421,1.5281021263114282e-16
C,2280,1332,steady_navier_stokes_stokes_initialized,0.46948676699867065,-0.002866666666666666,0.0028666666666665843,1.4220698259887864e-14,0.2029177636200842,0.3012863852090991,0.09153048305857935,16.13780635152939,1.7876363183838658e-16
D,1816,1096,steady_navier_stokes_stokes_initialized,0.4284465900018404,-0.002266666666666666,0.002266666666666585,1.7889335842064972e-14,0.2150025054265727,0.16009792848654253,0.07491880001720563,15.669644945436636,1.3915475264025243e-16
E,2510,1446,steady_navier_stokes_stokes_initialized,0.4983763239997643,-0.0028666666666666654,0.0028666666666667283,1.0968091742998343e-14,0.17106562921498253,0.18779736172938996,0.0782731874211526,12.235441873185344,1.299364228219988e-16
F,2128,1259,steady_navier_stokes_stokes_initialized,0.4148966489992745,-0.002266666666666666,0.0022666666666666976,6.983537521233746e-15,0.07262480709774582,0.18147403164765052,0.05914602762369113,12.612266865389437,1.0050759931635565e-16
