case_id,method,simple_steps,rho_residual,rho_u,rho_p,rho_phi,rel_u,rel_p
topology_0290,cold,0,1.0,0.9934555760790903,0.11421916708483618,1.5093338072831849e-05,1.0,1.0
topology_0290,cold,5,5.360310925418875,5.3599924429114,0.058430627271789465,0.0003014867569453377,0.7335044267190814,0.6453313008747122
topology_0290,cold,10,2.147733799248431,2.147360183928715,0.04005864018634293,0.00013512274129944728,0.5859342329714555,0.5699863341247947
topology_0290,cold,15,0.953797602632736,0.9535728261344506,0.020705770639608982,5.575062335149455e-05,0.5103548010152261,0.5944380329882063
topology_0290,cold,20,0.6189565973507528,0.6188266237683528,0.01268377444057443,3.139146293070024e-05,0.4589350905125553,0.6020600453393694
topology_0290,cold,25,0.4260444010714261,0.4259375613802783,0.009540699837133269,2.3159221975831413e-05,0.4222010171410047,0.6028984442608399
topology_0290,cold,30,0.3249407218822197,0.32484431269951697,0.007914852710656615,1.872658845234862e-05,0.3954988462496191,0.6032050515595708
topology_0290,cold,35,0.26268915048784097,0.2626012895182436,0.006793545952578082,1.614835469120002e-05,0.37539141108728064,0.6029177725895929
topology_0290,cold,40,0.21795746721046744,0.2178762310611825,0.005950230819883392,1.4302667867319804e-05,0.35978684348159734,0.6015156753256526
topology_0290,cold,45,0.1846050258014703,0.18452910990384896,0.005293673885995847,1.288578507657905e-05,0.3473147504693357,0.5991125432984398
topology_0290,cold,50,0.15921676611753968,0.1591454775277966,0.004763974909049159,1.1766175042874207e-05,0.3370357972048269,0.5961634730951657
topology_0290,cold,55,0.1395296193481597,0.1394624415781042,0.0043291969983726706,1.0856586970684122e-05,0.3283257401266686,0.5929025384369798
topology_0290,cold,60,0.12407280913372006,0.12400941235950179,0.003965792549797721,1.0101264286404436e-05,0.32076220460255767,0.5894787976524299
topology_0290,cold,65,0.11178749048486118,0.11172764219695165,0.0036574456205548302,9.46285154570612e-06,0.3140538537802505,0.585976750245914
topology_0290,cold,70,0.10190675369089856,0.10185026557210652,0.003392605375087935,8.915030300342107e-06,0.30799734252778205,0.5824467534099805
topology_0290,cold,75,0.09386921128526493,0.09381591509164687,0.003162725346630723,8.438980632598419e-06,0.30244849492636106,0.5789213455377931
topology_0290,cold,80,0.08725409982337955,0.08720383146703901,0.0029613593370847575,8.020797802714123e-06,0.2973034312483701,0.5754207619723436
topology_0290,cold,85,0.0817432741001658,0.08169586661709337,0.002783555240131213,7.649971462477858e-06,0.2924860963920046,0.5719575715858373
topology_0290,cold,90,0.07709513651743127,0.07705041892436972,0.002625445611943052,7.318416716032743e-06,0.28793988462264836,0.5685393880177436
topology_0290,cold,95,0.07312566410302727,0.07308346327303608,0.002483968045233764,7.01981594755332e-06,0.28362196392885586,0.5651705805137003
topology_0290,cold,100,0.06969434790288387,0.06965449156887878,0.002356668907161613,6.749165178721598e-06,0.2794993953546235,0.5618534524495548
topology_0290,cold,105,0.06669355313118605,0.06665587304513497,0.00224155650639959,6.502446002135271e-06,0.2755464493766157,0.5585889555575578
topology_0290,cold,110,0.06404053354204793,0.06400486803441335,0.002136999030029615,6.276396372773495e-06,0.2717427241620916,0.5553771670474074
topology_0290,cold,115,0.06167133535420927,0.061637531187809284,0.0020416455663162907,6.068337720612158e-06,0.2680718130753884,0.5522176013936704
topology_0290,cold,120,0.0595362281099718,0.059504141645518115,0.001954366921737064,5.876047563494289e-06,0.2645203467274296,0.5491094142926143
topology_0290,cold,125,0.057596255705761434,0.05756575346606673,0.0018742109657415254,5.697664254961364e-06,0.26107729598802065,0.546051537839544
topology_0290,cold,130,0.05582065716015446,0.05579161593572866,0.0018003684269874344,5.531614542006888e-06,0.25773345783175305,0.5430427697618088
topology_0290,cold,135,0.05418493630591224,0.05415724293535199,0.0017321464169206204,5.3765586820659815e-06,0.2544810699557872,0.5400818334079591
topology_0290,cold,140,0.052669393106089105,0.052642944038225684,0.0016689475081600711,5.231347066396639e-06,0.25131351960829984,0.5371674182519839
topology_0290,cold,145,0.05125804272613833,0.05123274346827033,0.001610253045375458,5.09498624795029e-06,0.24822512065799965,0.5342982061786467
topology_0290,cold,150,0.04993778990415551,0.049913554384575905,0.0015556106654015854,4.9666132590605094e-06,0.2452109405867909,0.5314728901406767
topology_0290,cold,155,0.04869781016917166,0.048674560070345804,0.001504624123278445,4.8454747227122726e-06,0.24226666510736555,0.5286901861111292
topology_0290,cold,160,0.04752907541153544,0.04750673951985129,0.0014569445037179362,4.730909824885134e-06,0.2393884912123066,0.5259488407051612
topology_0290,cold,165,0.046423991139774655,0.046402504725981696,0.0014122631253178012,4.622335990330919e-06,0.23657304170996998,0.5232476362865596
topology_0290,cold,170,0.045376118704804784,0.04535542291755005,0.0013703066296253039,4.51923842806578e-06,0.23381729663896245,0.5205853938395634
topology_0290,cold,175,0.04437995461800241,0.04435999592951438,0.001330831876219496,4.421160391393152e-06,0.23111853772777488,0.5179609746189909
topology_0290,cold,180,0.04343076374003055,0.04341149343525438,0.0012936220600588179,4.327695441317068e-06,0.22847430353799253,0.5153732808148053
topology_0290,cold,185,0.042524445822844203,0.0425058195316739,0.001258483419064478,4.2384809689591316e-06,0.2258823522224043,0.5128212554202018
