split,topology_id,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_drop
train,topology_0001,11.220352378174649,7.238308000217663,-0.5914035767524535,36.21205326544649,36.80345684219895
train,topology_0002,13.612315788553055,7.728228576146301,-0.07088423294236594,39.05587926703403,39.1267634999764
train,topology_0003,16.542700997092048,8.719292590190534,-0.34076381323808486,46.488457873682414,46.8292216869205
train,topology_0004,14.161062014674416,9.547005033772065,0.07937811821781907,43.19704232952986,43.11766421131204
train,topology_0005,9.517726778723777,6.411889269916391,-0.7221610521366847,40.69734708555696,41.41950813769365
train,topology_0006,8.357386238956893,5.2425688014352705,0.13436664662150605,31.343457849061693,31.209091202440188
train,topology_0007,15.111626496454159,6.599507592972786,0.18020145870538457,40.28645968405287,40.10625822534749
train,topology_0008,16.364853148531118,7.391305362417983,-0.8950378000129475,46.85451864553486,47.74955644554781
train,topology_0009,9.704646086845159,6.535638732027715,0.2060148747939091,34.4510517106832,34.245036835889294
train,topology_0010,8.450229643433183,6.957237427882426,-0.35620096307130644,35.134156549699966,35.490357512771276
train,topology_0011,12.126258070804486,6.258829458455334,-0.06962055113111067,38.40503981127715,38.47466036240826
train,topology_0012,8.202584659446295,5.385951734931382,0.15075012968355544,37.880963082973196,37.73021295328964
train,topology_0013,15.677646506024283,9.95029186924189,0.2043429397615072,50.79759846330438,50.59325552354287
train,topology_0014,11.90307173039821,9.095128352574696,-1.1262459286903068,37.312272085624556,38.438518014314866
train,topology_0015,15.322826902714835,7.806326359107338,-0.3727891062018404,46.27849815337167,46.651287259573515
train,topology_0016,7.214912175888673,6.970023915279378,0.017641806217234768,38.77854615470114,38.760904348483905
train,topology_0017,21.44355552524204,13.020912091169937,0.07850008643545715,55.45923176797492,55.380731681539466
train,topology_0018,12.353503525825115,7.471415077216425,0.17596504407816965,38.024421236013204,37.848456191935036
train,topology_0019,16.770594101912323,7.914346586856506,0.4024148046864301,50.0053025388695,49.60288773418307
train,topology_0020,9.876339118819196,5.704000092673744,-0.0852227247678971,34.02286437383733,34.108087098605225
train,topology_0021,20.551071255165816,8.176744583857824,0.5168599339121063,49.96786427012944,49.45100433621733
train,topology_0022,7.151885695792702,4.9805192955231705,0.19264541798334117,33.90063983842466,33.70799442044132
train,topology_0023,14.412111808069653,9.084866614398099,-0.30183155020763475,48.541721409695015,48.84355295990265
train,topology_0024,11.242435829500248,6.420149232342279,-0.0061948641081426,40.21396097058713,40.22015583469528
train,topology_0025,12.542349802769616,7.528556099478198,0.13991463222603434,40.60452390953901,40.464609277312974
train,topology_0026,11.457753275900359,8.98142620633071,-0.7510828728153836,39.41753403981605,40.16861691263143
train,topology_0027,16.64313429194577,6.828234783410758,0.4610154198269323,41.80260818843795,41.341592768611015
train,topology_0028,15.802383894340938,11.74505904312606,-0.854681698348679,51.32250682246935,52.17718852081803
train,topology_0029,13.456668897031925,8.427562275413129,0.060116885023443416,43.68895642752175,43.62883954249831
train,topology_0030,18.17739557236422,9.49334219085917,0.0013808221671215495,48.2800740544811,48.27869323231398
train,topology_0031,21.70055052213193,11.225356765167094,0.43725966486806517,52.58132186121578,52.14406219634771
train,topology_0032,9.290033220900938,6.944853208119562,-0.4023138978754572,31.389128161595497,31.791442059470956
train,topology_0033,25.2594048322327,12.28121682680822,0.4942734898186565,62.342383114590085,61.848109624771425
train,topology_0034,24.952033578272097,13.094057887514467,0.5079705127933479,55.76002019945956,55.25204968666621
train,topology_0035,15.135258878566818,11.308452801837147,0.05701948357854281,43.4809061845542,43.42388670097566
train,topology_0036,18.33524116140965,9.40278004967385,0.10040495756918422,44.26679893268879,44.16639397511961
train,topology_0037,14.753211254155206,9.81800569615225,0.2073538278750841,47.34156253468557,47.13420870681049
train,topology_0038,11.150359878107018,7.218872653765676,-0.5001643497123079,40.363030046305255,40.86319439601756
train,topology_0039,12.116279212760222,5.877326410961189,0.18244659173786096,38.26998289584213,38.087536304104276
train,topology_0040,14.668417257892227,6.245634722262431,0.17756929033278848,41.67160335217986,41.49403406184707
train,topology_0041,11.963290844846433,9.078294742976158,0.11835118099767124,42.38198344966271,42.26363226866504
train,topology_0042,10.21063536938507,6.504353339112432,0.0733058488240009,44.93706921151758,44.86376336269358
train,topology_0043,14.658675813026681,7.162802759679661,0.17781284235598221,39.17000005457438,38.9921872122184
train,topology_0044,15.089646559472294,9.044418627620573,0.17818386150597262,43.90126770249327,43.7230838409873
