case,method,initial_rho,threshold,status,pre_steps,remaining_steps,total_simple_steps,inference_time_s,precorrection_time_s,remaining_simple_time_s,total_time_s,final_rho,final_rel_u,final_rel_p
topology_0290,cold,1.0,0.014158391728508702,CONVERGED,0,616,616,0.0,0.0,60.25595237095695,60.25595237095695,0.014135032972382132,0.10236404217526154,0.3669712885928205
topology_0290,teacher_k20,0.6189565973507528,0.014158391728508702,CONVERGED,0,596,616,0.0,0.0,56.16261471701728,56.16261471701728,0.014135032972382132,0.10236404217526154,0.3669712885928205
topology_0290,neural,3.9921127705596406,0.014158391728508702,CONVERGED,0,629,629,0.01178526599687757,0.0,59.09717122995062,59.108956495947496,0.014143589483788658,0.10270217880705011,0.3692999014512682
topology_0290,neural_t1,4.178646280772028,0.014158391728508702,CONVERGED,1,628,629,0.01178526599687757,0.07626822400197852,55.18860719402073,55.27666068401959,0.014143589483788658,0.10270217880705011,0.3692999014512682
topology_0290,neural_t5,1.9544126083288689,0.014158391728508702,CONVERGED,5,624,629,0.01178526599687757,0.3913777630041295,70.39245754500371,70.79562057400472,0.014143589483788658,0.10270217880705011,0.3692999014512682
topology_0291,cold,1.0,0.01357928188562885,MAX_STEPS,0,800,800,0.0,0.0,64.87371625300113,64.87371625300113,0.01635724056122631,0.07797831035502119,0.2675366571175854
topology_0291,teacher_k20,0.8234874428619734,0.01357928188562885,MAX_STEPS,0,800,820,0.0,0.0,97.45408565499383,97.45408565499383,0.015927536032551502,0.07579834700294313,0.2638327129973334
topology_0291,neural,4.890037700171734,0.01357928188562885,MAX_STEPS,0,800,800,0.021650357000908116,0.0,80.54163826597869,80.5632886229796,0.016766671331645628,0.08014845708448852,0.27274279741845564
topology_0291,neural_t1,3.809766001202416,0.01357928188562885,MAX_STEPS,1,800,801,0.021650357000908116,0.1725829459974193,74.47040150698012,74.66463480997845,0.016743625864545517,0.0800331592552134,0.272551695383325
topology_0291,neural_t5,1.8827874458754978,0.01357928188562885,MAX_STEPS,5,800,805,0.05763516300004312,0.34940808599998263,68.74288157000012,69.14992481900015,0.01665208134519122,0.07957424563239672,0.271789298546185
topology_0292,cold,1.0,0.01353152770125132,CONVERGED,0,553,553,0.0,0.0,52.87085962300398,52.87085962300398,0.013514119253508336,0.06121348156440771,0.34400544887628026
topology_0292,teacher_k20,0.5316732028987977,0.01353152770125132,CONVERGED,0,533,553,0.0,0.0,50.00618479499735,50.00618479499735,0.013514119253508336,0.06121348156440771,0.34400544887628026
topology_0292,neural,3.7063535464893747,0.01353152770125132,CONVERGED,0,571,571,0.010654593000253954,0.0,64.19545366399325,64.2061082569935,0.013519512656311142,0.06183602292529079,0.34616828655643295
topology_0292,neural_t1,3.3090338872412453,0.01353152770125132,CONVERGED,1,570,571,0.010654593000253954,0.08393496899998354,51.91210973100215,52.006699293002384,0.013519512656311142,0.06183602292529079,0.34616828655643295
topology_0292,neural_t5,1.7839648513610136,0.01353152770125132,CONVERGED,5,566,571,0.010654593000253954,0.4655385840001145,53.05167582100103,53.527868998001395,0.013519512656311142,0.06183602292529079,0.34616828655643295
topology_0293,cold,1.0,0.014026110641205927,CONVERGED,0,650,650,0.0,0.0,54.24339254499955,54.24339254499955,0.014014777770734208,0.09303942482240643,0.34860845270833574
topology_0293,teacher_k20,0.5903722158260957,0.014026110641205927,CONVERGED,0,630,650,0.0,0.0,49.50770679701145,49.50770679701145,0.014014777770734208,0.09303942482240643,0.34860845270833574
topology_0293,neural,3.781805306276035,0.014026110641205927,CONVERGED,0,665,665,0.01156458500008739,0.0,58.63058973900661,58.6421543240067,0.014011725041304591,0.09315437795122816,0.35088837067744916
topology_0293,neural_t1,3.2849138361085357,0.014026110641205927,CONVERGED,1,664,665,0.01156458500008739,0.06950457999982973,58.33988213800512,58.42095130300504,0.014011725041304591,0.09315437795122816,0.35088837067744916
topology_0293,neural_t5,1.5914697050771367,0.014026110641205927,CONVERGED,5,660,665,0.01156458500008739,0.3642932799994014,52.50687342399533,52.88273128899482,0.014011725041304591,0.09315437795122816,0.35088837067744916
topology_0294,cold,1.0,0.011840593767861103,CONVERGED,0,547,547,0.0,0.0,67.02404525901784,67.02404525901784,0.01183871888738721,0.04440570243456626,0.37673103504663713
topology_0294,teacher_k20,0.4073229560378634,0.011840593767861103,CONVERGED,0,527,547,0.0,0.0,52.4309296060037,52.4309296060037,0.01183871888738721,0.04440570243456626,0.37673103504663713
topology_0294,neural,3.819068428371103,0.011840593767861103,CONVERGED,0,567,567,0.021056472000054782,0.0,47.52630447599404,47.54736094799409,0.011838410107001573,0.045565406253076986,0.38134565723726815
topology_0294,neural_t1,3.0285264370634772,0.011840593767861103,CONVERGED,1,566,567,0.021056472000054782,0.08906535499954771,39.17715683700135,39.28727866400095,0.011838410107001573,0.045565406253076986,0.38134565723726815
topology_0294,neural_t5,1.260103510292624,0.011840593767861103,CONVERGED,5,562,567,0.021056472000054782,0.4184061579999252,62.22263336699507,62.66209599699505,0.011838410107001573,0.045565406253076986,0.38134565723726815
topology_0295,cold,1.0,0.02534494452188281,MAX_STEPS,0,800,800,0.0,0.0,97.05034870804229,97.05034870804229,0.02927815156908298,0.22039759942309517,0.3073897352008578
topology_0295,teacher_k20,0.6554886678324675,0.02534494452188281,MAX_STEPS,0,800,820,0.0,0.0,80.81411534100698,80.81411534100698,0.028558433873665603,0.21564639136586497,0.30240170547862283
topology_0295,neural,4.889821619813264,0.02534494452188281,MAX_STEPS,0,800,800,0.015321740000217687,0.0,74.90298538596471,74.91830712596493,0.0298159354399313,0.2241674202618758,0.3120162228238467
topology_0295,neural_t1,3.7997212877554856,0.02534494452188281,MAX_STEPS,1,800,801,0.01069415899996784,0.08008541999993213,68.82935688200382,68.92013646100372,0.029778405212450357,0.22392189697837675,0.31175926727354286
topology_0295,neural_t5,1.669390057214001,0.02534494452188281,MAX_STEPS,5,800,805,0.01069415899996784,0.41913085999999566,67.32463419199848,67.75445921099845,0.02962900256353852,0.22294314455815503,0.3107344288814174
topology_0296,cold,1.0,0.009132804459200089,CONVERGED,0,755,755,0.0,0.0,59.804491262006195,59.804491262006195,0.009122669398370992,0.03555238497809045,0.3285580591706681
topology_0296,teacher_k20,0.8212337928014276,0.009132804459200089,CONVERGED,0,735,755,0.0,0.0,48.681356921008955,48.681356921008955,0.009122669398370992,0.03555238497809045,0.3285580591706681
topology_0296,neural,3.909993003535597,0.009132804459200089,CONVERGED,0,774,774,0.015401828999529243,0.0,53.924654587995065,53.940056416994594,0.009131972485846343,0.03608994927963147,0.32931291293300824
