global_step,stage,stage_step,beta,learning_rate,loss_total,loss_momentum,loss_continuity,loss_x_raw,loss_y_raw,loss_continuity_raw,residual_x_l2,residual_y_l2,residual_continuity_l2,divergence_l2,inlet_flux,outlet_flux,mass_imbalance,continuity_constant_test,absolute_mass_defect,max_speed,mean_speed,pressure_min,pressure_max,gradient_norm,seconds_per_step,elapsed_seconds,rss_mb
90,0,90,0.0,0.001,0.28844026412032675,0.15016478857387655,0.1382754755464502,0.0005325103598142726,5.223318200417965e-05,0.013880794020863863,0.0037531529774733714,0.0011282409754971286,0.0005250562654048929,0.14850969935534297,-0.0032000000000000015,-1.0464007028922209e-05,0.9999999996885185,-0.0032104640070289344,0.0032104640070289236,0.1,0.003345774256217384,-0.011386949332748492,0.002944968715307244,22.560284752455853,0.4547778873111105,40.9300226229999,675.62890625
95,0,95,0.0,0.001,0.29076527249292844,0.14617647343103976,0.14458879906188868,0.0005150637103609877,5.414928302025086e-05,0.014514557477171336,0.0037017634044160257,0.0011400043676307028,0.0005307245569310547,0.1507495638848524,-0.0032000000000000015,2.993222597839748e-06,0.998130983808653,-0.0031970067774021683,0.003197006777402162,0.1,0.0030647784797449584,-0.011450538875204957,0.0031938208975070053,26.005074343997293,0.44736965850526256,42.50012330599998,675.62890625
100,0,100,0.0,0.001,0.27226859083404237,0.13029956555361988,0.1419690252804225,0.0004627958682625778,4.459224970320757e-05,0.014251571288925858,0.0036559045135878127,0.0010970124379751887,0.0005299375100799289,0.1498246349361854,-0.0032000000000000015,-2.1874735320459566e-05,0.9999999996896217,-0.0032218747353204708,0.003221874735320461,0.1,0.0030053950359759983,-0.011450938189776945,0.0033596133719461492,11.79712098778921,0.440751880549999,44.075197533999926,675.62890625
105,1,5,0.25,0.0005,0.26689973587630295,0.12281993984786223,0.1440797960284407,0.00044503408502133353,3.322827804413198e-05,0.014463461169345493,0.003617099220764868,0.0010584339471185734,0.0005326033535192887,0.15057120630553553,-0.0032000000000000015,-2.7045978109114406e-05,0.9999999996901191,-0.0032270459781091206,0.003227045978109116,0.1,0.0026835998405462832,-0.011492573902184734,0.0035737228457611353,3.2870184016850184,0.4729762819238095,49.6625158249999,677.49609375
110,1,10,0.25,0.0005,0.26569688443961903,0.12374107832832155,0.14195580611129746,0.0004482764591185219,3.357282856944967e-05,0.014250244281638222,0.0036169788997981794,0.0010594171493392844,0.0005305162804415071,0.14981614415597422,-0.0032000000000000015,-2.2062094707238325e-05,0.9999999996896397,-0.0032220620947072463,0.00322206209470724,0.1,0.002731773042041792,-0.01153680641833474,0.003734525092837328,3.5349740086016146,0.4654972177636358,51.20470056799991,677.49609375
115,1,15,0.25,0.0005,0.26450733100170715,0.12269159976926067,0.14181573123244648,0.0004446108531486311,3.315175206526715e-05,0.014236182854381189,0.0036067899091379047,0.0010557644405902226,0.0005310720334783779,0.14975621761791033,-0.0032000000000000015,-2.775204739860202e-05,0.9999999996901868,-0.0032277520473986037,0.0032277520473986037,0.1,0.0026858572611047644,-0.011569451449167496,0.003915712443159538,2.6786838696158473,0.46095219608695637,53.00951152799996,677.49609375
120,1,20,0.25,0.0005,0.2633711022750578,0.12090181198083266,0.14246929029422511,0.0004377649750414766,3.3028174413530916e-05,0.014301790429991882,0.003588655295209963,0.0010558622684201215,0.0005318046885503076,0.14998518099206168,-0.0032000000000000015,-2.3340687399647393e-05,0.9999999996897628,-0.0032233406873996575,0.003223340687399649,0.1,0.002700848507968841,-0.01160964174948811,0.00410785911175076,1.7744725818500902,0.4589511044166661,55.07414038100001,680.30859375
125,1,25,0.25,0.0005,0.2623038347222243,0.12053031580141492,0.1417735189208094,0.0004360547897806187,3.32917489623318e-05,0.014231945368300138,0.003582694104478375,0.0010554746544949435,0.0005318761830390043,0.1497368104909522,-0.0032000000000000015,-2.7352922495472987e-05,0.9999999996901485,-0.0032273529224954717,0.0032273529224954743,0.1,0.0027156348246226733,-0.011635437309378443,0.004291033642651103,1.232466185167239,0.45405376623199933,56.75672740899995,680.30859375
130,1,30,0.25,0.0005,0.26135303470792937,0.11874552160731788,0.14260751310061148,0.0004291623936852057,3.323413441686895e-05,0.014315665936815146,0.0035646153635032992,0.0010549492661417353,0.0005330302535909716,0.1500249329952203,-0.0032000000000000015,-2.682562999758505e-05,0.9999999996900979,-0.0032268256299975984,0.0032268256299975867,0.1,0.0026850474457134057,-0.01166468931667574,0.0044990755493479985,1.0987149985975067,0.44917551859230725,58.39282397699992,680.30859375
135,1,35,0.25,0.0005,0.26050012629586944,0.11845457866599146,0.14204554762987798,0.00042804355070188147,3.322004199240554e-05,0.01425925299073586,0.003557711916608306,0.0010549744826394804,0.0005328545217089484,0.14982620542241654,-0.0032000000000000015,-2.59981720560543e-05,0.9999999996900184,-0.0032259981720560616,0.003225998172056056,0.1,0.0027056682645477106,-0.011695700967807018,0.004691148594336957,1.2926992472651182,0.4469899977629624,60.343660230999944,680.30859375
140,1,40,0.25,0.0005,0.259633720462598,0.11760099807074374,0.1420327223918543,0.0004246659577949469,3.327378151644736e-05,0.014257965528251485,0.003546735828672473,0.0010543159984427069,0.0005334114706448696,0.14983030270502712,-0.0032000000000000015,-2.8036164504602984e-05,0.9999999996902141,-0.003228036164504605,0.0032280361645046045,0.1,0.002682202971158468,-0.011718995499342058,0.004889473459054162,0.8146199191007767,0.4427598640999999,61.986386644999925,688.43359375
145,1,45,0.25,0.0005,0.25885234356505354,0.11658812443786383,0.14226421912718973,0.00042076638160206905,3.322921527001202e-05,0.014281204345453123,0.0035342175143766425,0.0010538878940387257,0.0005339561413842435,0.14992221921115023,-0.0032000000000000015,-2.766072266634847e-05,0.999999999690178,-0.003227660722666357,0.0032276607226663498,0.1,0.002663467158924027,-0.011740048888839106,0.005089816332868,0.6459245539968826,0.43861607454482743,63.599341060999905,688.43359375
150,1,50,0.25,0.0005,0.2581124673574063,0.11622766956457413,0.14188479779283217,0.00041934490005435065,3.3247081088138444e-05,0.014243116106244215,0.0035273036050761358,0.0010539620059473729,0.0005339200551967001,0.14980322601111498,-0.0032000000000000015,-2.696023008147614e-05,0.9999999996901109,-0.0032269602300814865,0.0032269602300814774,0.1,0.002671425017846604,-0.011757897522847834,0.005276615380678045,0.45090550719056804,0.43654472202000005,65.48171728599993,688.43359375
155,2,5,0.5,0.0005,0.25728233898159675,0.1155812763998407,0.14170106258175605,0.0004168244685822416,3.325044959133779e-05,0.014224671833250407,0.0035178251596598995,0.0010537619672448678,0.0005341333500330401,0.14976148399110648,-0.0032000000000000015,-2.67735850099596e-05,0.9999999996900929,-0.0032267735850099615,0.003226773585009961,0.1,0.002670268695598984,-0.01176043715528752,0.005464655654912949,0.5339356589974069,0.4640738670193543,71.93146000299998,691.8125
160,2,10,0.5,0.0005,0.25661460380754814,0.11471017105852294,0.1419044327490252,0.0004135021246799401,3.318069853305188e-05,0.014245087162799597,0.0035069772035177475,0.001053268110912552,0.000534608868737361,0.14985644214088242,-0.0032000000000000015,-2.6753536598018348e-05,0.999999999690091,-0.003226753536598025,0.0032267535365980197,0.1,0.0026539944070788704,-0.011744566869414256,0.005658631463196505,0.243489150301826,0.45975487456874975,73.56078614399996,691.8125
165,2,15,0.5,0.0005,0.2559838753822888,0.11415976353616449,0.1418241118461243,0.00041139637856460064,3.314315095668102e-05,0.014237024142916057,0.0034990756078921693,0.0010529725732802398,0.0005347926299427936,0.14985068633332374,-0.0032000000000000015,-2.682990465144939e-05,0.9999999996900983,-0.0032268299046514528,0.003226829904651451,0.1,0.0026465520042611764,-0.011721670056173082,0.0058426326403276385,0.13483749486670596,0.45693065784242376,75.39356486999998,691.8125
170,2,20,0.5,0.0005,0.2553808825282311,0.1136371472646789,0.1417437352635522,0.00040940025379400836,3.310420150979065e-05,0.014228955533624528,0.0034913642059831835,0.0010527245763274787,0.0005349995274146753,0.14985083218528117,-0.0032000000000000015,-2.6810166918068013e-05,0.9999999996900965,-0.0032268101669180693,0.0032268101669180693,0.1,0.0026438621791812235,-0.011691625297380675,0.006021112879308348,0.13488235771721752,0.4517750032941174,76.80175900699999,691.8125
175,2,25,0.5,0.0005,0.2547997689484121,0.11304504609470149,0.14175472285371063,0.00040716552069498753,3.303328533819628e-05,0.014230058523689628,0.0034832589041797375,0.0010523474057319577,0.0005352172710938007,0.14988067293473076,-0.0032000000000000015,-2.6461044054179067e-05,0.9999999996900629,-0.003226461044054189,0.0032264610440541804,0.1,0.0026370200728648143,-0.011657663044160166,0.006194642999005115,0.11796561246384966,0.4473551758514285,78.28716472999997,691.8125
180,2,30,0.5,0.0005,0.2542387718551103,0.11247622911047582,0.14176254274463448,0.0004050246311162431,3.295919455329187e-05,0.014230843524028631,0.0034755103876453596,0.0010520343546879902,0.0005353906810930406,0.14990979420847284,-0.0032000000000000015,-2.6166787010388116e-05,0.9999999996900346,-0.0032261667870103947,0.0032261667870103895,0.1,0.002631701229311248,-0.011622726563122503,0.006358775453330199,0.15835062408407252,0.44428355208333287,79.97104506999995,691.8125
185,2,35,0.5,0.0005,0.25369414381642585,0.11199711462688035,0.1416970291895455,0.0004032305510031307,3.288759694837986e-05,0.014224266940869751,0.0034686845075772694,0.0010517443513475642,0.0005355030021766739,0.1499159599556015,-0.0032000000000000015,-2.5942950212660363e-05,0.9999999996900131,-0.003225942950212673,0.003225942950212662,0.1,0.0026293680625586657,-0.011629769027332282,0.006513798522340645,0.21433236330539363,0.44119745229189156,81.62153638199993,691.8125
190,2,40,0.5,0.0005,0.2531617496776872,0.11152030425979723,0.14164144541788995,0.00040145902150002605,3.2802420991623813e-05,0.014218687159768264,0.0034619831984391684,0.0010513171947303776,0.0005356088942117252,0.1499264702460018,-0.0032000000000000015,-2.5985781157343362e-05,0.9999999996900172,-0.0032259857811573435,0.0032259857811573448,0.1,0.002624929908906015,-0.011758150499486619,0.006660749753035326,0.10237222177328752,0.43818694193157864,83.25553037299994,691.8125
