mesh,method,seed_index,velocity_error
16x8,raw,0,0.32672172936396326
16x8,raw,1,0.29288241523045505
16x8,raw,2,0.3279796554959873
16x8,raw,3,0.32845306202281316
16x8,raw,4,0.31404358198139803
16x8,dual,0,0.07829358343661696
16x8,dual,1,0.07202638390307446
16x8,dual,2,0.0846994599143272
16x8,dual,3,0.0918620540494226
16x8,dual,4,0.08669411833594
16x8,correction,0,0.05310518833096408
16x8,correction,1,0.04676275876783429
16x8,correction,2,0.04475541216301689
16x8,correction,3,0.05125755742899283
16x8,correction,4,0.05717894247061122
32x16,raw,0,0.41304010918824874
32x16,raw,1,0.42800439691661074
32x16,raw,2,0.39256980348218423
32x16,raw,3,0.5754479615900393
32x16,raw,4,0.5860314942497503
32x16,dual,0,0.09269234205210505
32x16,dual,1,0.09326015169962713
32x16,dual,2,0.1093039503908355
32x16,dual,3,0.09739491865744106
32x16,dual,4,0.08894743676784934
32x16,correction,0,0.059125094637247744
32x16,correction,1,0.06169508150425261
32x16,correction,2,0.06253702595860892
32x16,correction,3,0.0670124825920347
32x16,correction,4,0.07474287039963066
